unknown_total_rating,unknown_rating_count,Action_total_rating,Action_rating_count,Adventure_total_rating,Adventure_rating_count,Animation_total_rating,Animation_rating_count,Children's_total_rating,Children's_rating_count,Comedy_total_rating,Comedy_rating_count,Crime_total_rating,Crime_rating_count,Documentary_total_rating,Documentary_rating_count,Drama_total_rating,Drama_rating_count,Fantasy_total_rating,Fantasy_rating_count,Film-Noir_total_rating,Film-Noir_rating_count,Horror_total_rating,Horror_rating_count,Musical_total_rating,Musical_rating_count,Mystery_total_rating,Mystery_rating_count,Romance_total_rating,Romance_rating_count,Sci-Fi_total_rating,Sci-Fi_rating_count,Thriller_total_rating,Thriller_rating_count,War_total_rating,War_rating_count,Western_total_rating,Western_rating_count
0.0,0.0,5.0,3.0,10.0,4.0,0.0,0.0,8.0,2.0,114.0,32.0,0.0,0.0,4.0,1.0,45,11,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,11,6.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0
0.0,0.0,107.0,30.0,45.0,13.0,18.0,5.0,34.0,10.0,39.0,13.0,37.0,13.0,0.0,0.0,89,25,5.0,2.0,8.0,3.0,2.0,2.0,16.0,4.0,38.0,10.0,24,7,21.0,7.0,183.0,51.0,6.0,2.0,14.0,3.0
0.0,0.0,249.0,66.0,121.0,35.0,0.0,0.0,10.0,8.0,215.0,72.0,32.0,8.0,0.0,0.0,71,16,1.0,1.0,5.0,1.0,19.0,5.0,17.0,4.0,3.0,3.0,69,19,97.0,25.0,87.0,23.0,55.0,15.0,17.0,4.0
0.0,0.0,147.0,47.0,68.0,20.0,37.0,9.0,33.0,8.0,362.0,101.0,31.0,8.0,2.0,1.0,389,100,8.0,2.0,8.0,2.0,33.0,8.0,37.0,10.0,15.0,4.0,197,50,81.0,22.0,102.0,31.0,77.0,22.0,12.0,4.0
0.0,0.0,30.0,7.0,0.0,0.0,0.0,0.0,7.0,2.0,19.0,6.0,1.0,1.0,0.0,0.0,19,6,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,10.0,2.0,17,5,8.0,2.0,37.0,9.0,2.0,2.0,0.0,0.0
0.0,0.0,110.0,26.0,85.0,20.0,46.0,12.0,91.0,23.0,155.0,39.0,23.0,5.0,4.0,1.0,210,51,13.0,3.0,4.0,1.0,14.0,4.0,58.0,15.0,22.0,5.0,103,28,48.0,12.0,76.0,20.0,92.0,21.0,12.0,3.0
0.0,0.0,101.0,25.0,47.0,11.0,7.0,3.0,7.0,3.0,42.0,12.0,51.0,11.0,17.0,4.0,166,41,5.0,1.0,25.0,6.0,19.0,4.0,3.0,2.0,19.0,4.0,41,12,50.0,12.0,108.0,27.0,32.0,9.0,10.0,3.0
0.0,0.0,121.0,30.0,56.0,14.0,14.0,3.0,32.0,8.0,105.0,27.0,35.0,9.0,0.0,0.0,148,36,0.0,0.0,4.0,1.0,23.0,6.0,24.0,5.0,11.0,3.0,89,21,39.0,10.0,106.0,27.0,36.0,8.0,13.0,3.0
0.0,0.0,132.0,44.0,82.0,26.0,23.0,5.0,19.0,6.0,240.0,67.0,55.0,18.0,5.0,1.0,398,114,4.0,1.0,17.0,5.0,13.0,4.0,43.0,13.0,36.0,11.0,166,48,84.0,25.0,126.0,39.0,84.0,24.0,8.0,2.0
0.0,0.0,84.0,25.0,76.0,22.0,34.0,10.0,61.0,20.0,231.0,66.0,52.0,14.0,4.0,1.0,388,104,7.0,3.0,28.0,6.0,16.0,4.0,46.0,13.0,51.0,12.0,155,41,45.0,13.0,95.0,24.0,80.0,21.0,18.0,5.0
0.0,0.0,206.0,64.0,136.0,42.0,17.0,5.0,46.0,14.0,195.0,60.0,52.0,13.0,6.0,2.0,382,108,12.0,4.0,10.0,3.0,23.0,10.0,36.0,11.0,26.0,7.0,179,54,127.0,35.0,146.0,48.0,99.0,26.0,5.0,2.0
0.0,0.0,188.0,53.0,138.0,39.0,64.0,17.0,106.0,27.0,479.0,131.0,83.0,21.0,8.0,2.0,377,98,17.0,5.0,7.0,2.0,61.0,15.0,88.0,22.0,28.0,7.0,232,61,117.0,34.0,150.0,41.0,40.0,11.0,13.0,3.0
0.0,0.0,332.0,79.0,235.0,57.0,66.0,16.0,166.0,42.0,193.0,52.0,37.0,10.0,2.0,1.0,251,61,41.0,10.0,10.0,2.0,44.0,10.0,72.0,17.0,15.0,4.0,148,36,188.0,43.0,201.0,50.0,73.0,17.0,16.0,4.0
0.0,0.0,145.0,35.0,73.0,17.0,30.0,7.0,55.0,14.0,228.0,59.0,41.0,9.0,0.0,0.0,188,44,17.0,5.0,18.0,4.0,30.0,7.0,30.0,8.0,23.0,5.0,129,31,79.0,19.0,81.0,19.0,63.0,15.0,14.0,3.0
0.0,0.0,87.0,25.0,41.0,11.0,0.0,0.0,6.0,2.0,53.0,19.0,25.0,11.0,0.0,0.0,315,104,4.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,7.0,111,36,23.0,7.0,87.0,30.0,47.0,14.0,18.0,5.0
0.0,0.0,394.0,128.0,191.0,59.0,66.0,18.0,113.0,33.0,622.0,184.0,138.0,38.0,18.0,5.0,559,152,23.0,7.0,27.0,6.0,104.0,29.0,106.0,29.0,72.0,20.0,305,85,202.0,61.0,342.0,106.0,102.0,26.0,40.0,10.0
0.0,0.0,21.0,5.0,13.0,3.0,0.0,0.0,4.0,1.0,41.0,10.0,18.0,5.0,0.0,0.0,191,47,4.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,13.0,3.0,40,10,20.0,5.0,16.0,5.0,18.0,5.0,14.0,4.0
0.0,0.0,186.0,68.0,119.0,47.0,50.0,17.0,83.0,31.0,285.0,101.0,63.0,20.0,0.0,0.0,403,126,10.0,4.0,18.0,6.0,25.0,9.0,62.0,21.0,31.0,10.0,154,55,70.0,30.0,131.0,40.0,117.0,35.0,40.0,13.0
0.0,0.0,285.0,78.0,127.0,33.0,61.0,15.0,84.0,22.0,331.0,93.0,109.0,27.0,5.0,1.0,352,89,22.0,6.0,10.0,3.0,98.0,28.0,42.0,12.0,36.0,11.0,143,36,115.0,33.0,333.0,90.0,55.0,14.0,21.0,6.0
0.0,0.0,187.0,65.0,149.0,50.0,52.0,16.0,140.0,49.0,440.0,143.0,96.0,33.0,20.0,7.0,688,213,22.0,8.0,58.0,15.0,54.0,18.0,123.0,36.0,92.0,26.0,292,94,91.0,31.0,239.0,79.0,133.0,38.0,32.0,11.0
0.0,0.0,228.0,60.0,124.0,32.0,3.0,1.0,13.0,4.0,168.0,43.0,55.0,15.0,4.0,1.0,347,82,5.0,2.0,11.0,3.0,10.0,3.0,22.0,5.0,21.0,5.0,130,31,86.0,25.0,188.0,50.0,67.0,15.0,4.0,1.0
0.0,0.0,37.0,12.0,28.0,8.0,9.0,4.0,25.0,7.0,78.0,25.0,4.0,1.0,3.0,2.0,93,26,0.0,0.0,4.0,1.0,7.0,4.0,4.0,1.0,16.0,4.0,53,13,20.0,6.0,40.0,10.0,28.0,7.0,8.0,3.0
0.0,0.0,123.0,39.0,67.0,21.0,51.0,16.0,50.0,16.0,359.0,107.0,65.0,19.0,35.0,10.0,450,126,11.0,4.0,21.0,5.0,26.0,9.0,64.0,19.0,39.0,10.0,256,73,99.0,30.0,142.0,41.0,76.0,20.0,14.0,4.0
0.0,0.0,274.0,76.0,155.0,43.0,49.0,12.0,93.0,25.0,487.0,126.0,146.0,37.0,22.0,5.0,603,163,25.0,7.0,55.0,13.0,100.0,27.0,106.0,28.0,72.0,19.0,243,66,153.0,40.0,307.0,82.0,113.0,30.0,34.0,9.0
0.0,0.0,261.0,78.0,178.0,55.0,58.0,18.0,155.0,47.0,278.0,81.0,24.0,8.0,5.0,2.0,344,97,23.0,7.0,8.0,2.0,48.0,17.0,82.0,22.0,29.0,9.0,204,57,117.0,36.0,144.0,44.0,111.0,29.0,31.0,9.0
0.0,0.0,108.0,32.0,95.0,23.0,46.0,10.0,131.0,30.0,160.0,43.0,3.0,2.0,0.0,0.0,90,24,12.0,3.0,5.0,1.0,56.0,18.0,55.0,12.0,11.0,3.0,77,18,39.0,15.0,78.0,24.0,23.0,7.0,5.0,1.0
0.0,0.0,259.0,101.0,126.0,49.0,39.0,14.0,44.0,17.0,181.0,70.0,62.0,23.0,0.0,0.0,107,39,11.0,5.0,10.0,3.0,72.0,28.0,36.0,12.0,26.0,10.0,87,32,122.0,45.0,150.0,57.0,47.0,17.0,12.0,4.0
